anio;trimestre;ingresos;media_bajada_mbps;adsl;cablemodem;fibra_optica;wireless;otras_tecnologias;total_tecnologia;512kbps;512kbps_1mbps;1mbps_6mbps;6mbps_10mbps;10mbps_20mbps;20mbps_30mbps;30mbps;otras_velocidades;total_velocidad;accesos_100_hogares;accesos_100_hab
2022;3;67055930;62.46;1395277;6031970;2871541;55711;23523;11091128;33013;96727;1161370;1151906;823505;479822;6995750;349035;11091128;76.64;23.95
2022;2;60335724;58.44;1468333;5979214;2723285;556243;231609;10958684;33667;99498;1193090;1197030;856562;485321;6741922;351594;10958684;75.97;23.72
2022;1;55589997;55.11;1533240;6073426;2219533;545814;251996;10624009;3489;10484;1263273;1209148;967508;509830;6336187;198333;10624009;73.88;23.05
2021;4;45467887;52.34;1657615;5984240;2072236;523107;252596;10489794;41262;28521;1413208;1245333;976539;558358;6032322;194251;10489794;73.18;22.81
2021;3;42999944;48.46;1950631;5826257;1566048;492415;25019;10085541;40174;41437;2550229;1095772;710122;536364;4948174;163269;10085541;70.58;21.98
2021;2;38239667;45.63;2018587;5641731;1472246;476968;253552;9863084;40172;42024;2531271;1080279;693277;647401;4661291;167369;9863084;69.24;21.55
2021;1;36676371;43.11;2175211;5424782;1362976;434548;250455;9647972;39487;41674;2593477;1072722;737930;595920;4379965;186797;9647972;67.95;21.13
2020;4;33539703;42.36;2213949;5371824;1311199;421554;253036;9571562;3951;42185;2622638;1073875;786595;582420;4239237;185102;9571562;67.62;21.01
2020;3;31997445;40.67;2263889;5259351;1170879;413259;248821;9356199;41038;44005;2637984;1040017;799350;538567;4053461;201777;9356199;66.31;20.59
2020;2;32102476;38.32;2295533;5005115;1106725;376667;247016;9031056;41038;4869;2651502;1053107;807775;523437;3711499;194008;9031056;64.21;19.92
2020;1;29946216;37.52;2299457;4903674;1047817;352333;209145;8812426;4255;5617;2649819;1022014;814470;532309;3500882;194212;8812426;62.86;19.48
2019;4;24169251;28.26;2414575;4883869;941295;340144;213298;8793181;38272;2898;2792307;1046128;851619;1004083;2830746;201046;8793181;62.92;19.49
2019;3;21652748;24.18;2909805;4800091;852221;338241;264326;9164684;241713;80599;3309137;1026859;806466;1141545;2314898;243467;9164684;65.79;20.36
2019;2;20743118;20.33;2990457;4635575;760794;308027;265328;8960181;20279;9598;3444458;871142;1169632;1250366;1677830;247983;8960181;64.53;19.96
2019;1;20207414;17.38;3132789;4435439;637099;276419;166389;8648135;166573;195706;3428759;882836;1464748;1244215;1138728;12657;8648135;62.48;19.31
2018;4;16637687;15.95;3329027;4313831;388013;264299;178485;8473655;13874;201196;3337982;882388;1472634;1688748;599579;152388;8473655;61.42;18.97
2018;3;15410981;15.36;3521447;4238171;247366;246181;9387;8347035;5675;220589;3401277;859413;1607137;1571692;524777;156475;8347035;60.69;18.73
2018;2;14319467;13.85;3557216;4038141;226285;194267;94535;8110444;5972;219467;3316868;979416;1905839;1000036;444391;238455;8110444;59.16;18.24
2018;1;13171459;13.22;3574294;3981129;217460;1653;9887;8037053;7309;215406;3272724;976956;2068087;862010;397977;236584;8037053;58.82;18.12
2017;4;11226127;12.01;3584311;3818157;211425;155775;100554;7870222;15041;221474;3773159;1005545;1730353;631946;337559;155145;7870222;57.78;17.79
2017;3;10065998;8.34;3622575;3670221;193964;106443;13174;7724943;19022;217997;4062226;1062810;1592304;353480;245790;0;7553629;56.9;17.51
2017;2;9678647;7.16;3723518;3383434;180777;85813;56122;7429664;22366;222766;4416065;990281;1342000;231604;98635;0;7323717;54.9;16.88
2017;1;8701201;6.62;3708898;3276251;180146;84813;55746;7305854;20653;230159;4584534;975027;1129987;210668;47990;0;7199018;54.16;16.64
2016;4;7483980;6.34;3722794;3210602;178070;85119;55088;7251673;20724;233398;4673339;971094;1038029;169522;38590;0;7144696;53.94;16.56
2016;3;6912442;5.94;3776442;3124855;169898;81455;543;7206950;20104;294413;4816081;936533;919208;124564;31022;0;7141925;53.73;16.5
2016;2;6534241;5.42;3782085;3035272;167788;85452;59482;7130079;44008;384221;5058481;796998;785759;73977;29020;0;7172464;53.34;16.37
2016;1;5936845;5.08;3792493;2806359;164371;8537;58763;6907356;30428;40481;4944358;762999;641646;27664;23380;0;6835285;51.85;15.9
2015;4;5376899;4.99;3803024;2898226;139187;85726;58668;6984831;34243;427394;5049640;726740;639011;17568;22170;0;6916766;52.63;16.12
2015;3;5153739;4.79;3788696;2840203;162663;8453;58976;6935068;3503;455777;5087802;701187;539414;13101;20677;0;6852988;52.46;16.05
2015;2;4701791;4.55;3767821;2756294;150839;82077;59157;6816188;40723;500175;5138431;645440;432762;10045;18529;0;6786105;51.76;15.82
2015;1;4876385;4.35;3756153;2668248;168188;79098;66045;6737732;41158;516919;5121423;571620;348102;7643;16347;0;6623212;51.36;15.68
2014;4;3950441;4.16;3764038;2536219;149682;76984;71573;6598496;44075;554749;5084556;496251;276254;4371;15229;0;6475485;50.5;15.39
2014;3;3478638;3.87;3714764;2569868;155494;85096;70049;6595271;3743;608018;5153437;373372;182483;507;12424;0;6367671;50.67;15.43
2014;2;3270816;3.76;3708882;2461670;149363;72405;72148;6464468;41064;656408;5149574;341689;147273;478;12259;0;6348745;49.86;15.16
2014;1;2984054;3.62;3697066;2407330;150323;70749;7293;6398398;52684;687619;5130294;289182;101127;345;11595;0;6272846;49.55;15.05
